model,fpr,tpr
Logistic Regression,0.08830389870043319,0.3942857142857143
Logistic Regression,0.09096967677440854,0.3942857142857143
Logistic Regression,0.09096967677440854,0.39714285714285713
Logistic Regression,0.09363545484838387,0.39714285714285713
Logistic Regression,0.09363545484838387,0.4
Logistic Regression,0.09663445518160613,0.4
Logistic Regression,0.09663445518160613,0.40285714285714286
Logistic Regression,0.10129956681106297,0.40285714285714286
Logistic Regression,0.10129956681106297,0.4057142857142857
Logistic Regression,0.10463178940353215,0.4057142857142857
Logistic Regression,0.10463178940353215,0.4085714285714286
Logistic Regression,0.10696434521826058,0.4085714285714286
Logistic Regression,0.10696434521826058,0.4114285714285714
Logistic Regression,0.10763078973675441,0.4114285714285714
Logistic Regression,0.10763078973675441,0.4142857142857143
Logistic Regression,0.11629456847717427,0.4142857142857143
Logistic Regression,0.11629456847717427,0.41714285714285715
Logistic Regression,0.11762745751416194,0.41714285714285715
Logistic Regression,0.11762745751416194,0.42
Logistic Regression,0.11829390203265579,0.42
Logistic Regression,0.11829390203265579,0.4257142857142857
Logistic Regression,0.12295901366211263,0.4257142857142857
Logistic Regression,0.12295901366211263,0.42857142857142855
Logistic Regression,0.12829056981006332,0.42857142857142855
Logistic Regression,0.12829056981006332,0.43142857142857144
Logistic Regression,0.1299566811062979,0.43142857142857144
Logistic Regression,0.1299566811062979,0.4342857142857143
Logistic Regression,0.13695434855048316,0.4342857142857143
Logistic Regression,0.13695434855048316,0.43714285714285717
Logistic Regression,0.1372875708097301,0.43714285714285717
Logistic Regression,0.1372875708097301,0.44
Logistic Regression,0.14361879373542152,0.44
Logistic Regression,0.14361879373542152,0.44285714285714284
Logistic Regression,0.14595134955014996,0.44285714285714284
Logistic Regression,0.14595134955014996,0.44571428571428573
Logistic Regression,0.14828390536487837,0.44571428571428573
Logistic Regression,0.14828390536487837,0.44857142857142857
Logistic Regression,0.15028323892035989,0.44857142857142857
Logistic Regression,0.15028323892035989,0.4514285714285714
Logistic Regression,0.15661446184605132,0.4514285714285714
Logistic Regression,0.15661446184605132,0.4542857142857143
Logistic Regression,0.15761412862379207,0.4542857142857143
Logistic Regression,0.15761412862379207,0.45714285714285713
Logistic Regression,0.1599466844385205,0.45714285714285713
Logistic Regression,0.1599466844385205,0.46
Logistic Regression,0.16094635121626125,0.46
Logistic Regression,0.16094635121626125,0.4657142857142857
Logistic Regression,0.16527824058647117,0.4657142857142857
Logistic Regression,0.16527824058647117,0.4685714285714286
Logistic Regression,0.1656114628457181,0.4685714285714286
Logistic Regression,0.1656114628457181,0.4714285714285714
Logistic Regression,0.16661112962345884,0.4714285714285714
Logistic Regression,0.16661112962345884,0.4742857142857143
Logistic Regression,0.1692769076974342,0.4742857142857143
Logistic Regression,0.1692769076974342,0.47714285714285715
Logistic Regression,0.17594135288237253,0.47714285714285715
Logistic Regression,0.17594135288237253,0.48
Logistic Regression,0.1789403532155948,0.48
Logistic Regression,0.1789403532155948,0.4828571428571429
Logistic Regression,0.18293902032655782,0.4828571428571429
Logistic Regression,0.18293902032655782,0.48857142857142855
Logistic Regression,0.18493835388203933,0.48857142857142855
Logistic Regression,0.18493835388203933,0.49142857142857144
Logistic Regression,0.1882705764745085,0.49142857142857144
Logistic Regression,0.1882705764745085,0.49714285714285716
Logistic Regression,0.19326891036321225,0.49714285714285716
Logistic Regression,0.19326891036321225,0.5
Logistic Regression,0.1939353548817061,0.5
Logistic Regression,0.1939353548817061,0.5057142857142857
Logistic Regression,0.19526824391869377,0.5057142857142857
Logistic Regression,0.19526824391869377,0.5085714285714286
Logistic Regression,0.1996001332889037,0.5085714285714286
Logistic Regression,0.1996001332889037,0.5171428571428571
Logistic Regression,0.19993335554815062,0.5171428571428571
Logistic Regression,0.19993335554815062,0.5228571428571429
Logistic Regression,0.20126624458513828,0.5228571428571429
Logistic Regression,0.20126624458513828,0.5257142857142857
Logistic Regression,0.20759746751082972,0.5257142857142857
Logistic Regression,0.20759746751082972,0.5285714285714286
Logistic Regression,0.20959680106631123,0.5285714285714286
Logistic Regression,0.20959680106631123,0.5314285714285715
Logistic Regression,0.21026324558480505,0.5314285714285715
Logistic Regression,0.21026324558480505,0.5342857142857143
